602AZ007231A8140015298520076620PHOENIX                 ARIZ  030205150A007A26MWH46MWN12ST81A000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  030205150A008A33MWH21MWH12ST45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  030205150A009B30MWH00UUU12UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  030205150A010A27MWN23FWN13ST81D000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  030205150A011A52MWN29FWN12ST99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  030205150A012A26MBN52MWN12ST81A000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  030205150A013C54MWN18MBN12ST05 000001                                                  20MBN12ST05
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A001A66MWN23MWH30UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A002B24MWH00UUU12UN45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A003B33MWH00UUU11UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A004B38MBN00UUU11UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A005A32MWN37MWN12ST81F000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A006A33FBN32MBN12WI99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A007B35MWN00UUU30UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A008C27FIN00MBN12UN99 000005                                                  00MBN12UN99 00MBN12UN99 00MBN12UN99 00FBN12UN99 00FBN12UN99
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A009B52MWN00UUU11UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A010A22MWN19MWN12UN80C000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A011A35MBN32MWN12ST80C000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A012A26FWN27MWH12AQ99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A013C27MWH21MWH12UN45 000001                                                  20MWH12UN45
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A014C47MWN18MWH12UN05 000002                                                  24MWH12UN05 21MWH12UN05
602AZ007231A8140015298520076620PHOENIX                 ARIZ  050114150A001B40MWN00UUU12UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  050114150A002B38FWN00UUU65UN09 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  050114150A003B35MWN00UUU11UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  050114150A004B29MBH00UUU11UN70 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  050114150A005A22MBN30MWH12UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  050114150A006A50MWN16MWN30OF99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  050114150A007A67MWH35MWH65ST05 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A001C23MBN00MUU11UN99 000001                                                  00MUU11UN99
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A002A51MBN46FBN14BF99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A003C33MWH00MUU11UN18 000001                                                  00MUU11UN18
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A005A28MWN54MWN12ST05 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A006A30FWN29MWH30OK99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A007ABBFWN33MWN30SO99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A008A31MIN26MIN80UN45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A009B25MBN00UUU12UN46 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A010A22MBN17MWH12AQ46 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A011A19MBN19MWH20AQ45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A012B47MBU00UUU13UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A013A24MWH19MWH12ST45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A014A25MWH25MWH12AQ45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A001A14MWH26MWH65AQ09 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A002F81MWN00UUU20UN99 00100064FWN
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A003B31MBN00UUU11UN45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A004A22FWH23MWH20GF45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070121150A005A22MWH39MBN11UN18 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A006B29MWH00UUU12UN18 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A007B33MWH00UUU11UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A008B34MWN00UUU20UN45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A009A28MWH26MWH20BR80C000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A010B42MWH00UUU12UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A011B53MWH00UUU20UN05 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A001A16FWH27MWN20ST99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A002A29FWN44MWN12GF99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A003A29MWN44MWN12AQ80C000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A004B50MWH00UUU11UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A005C23MIN32MWN12ST81A000004                                                  33FWN12ST81A33MWN12ST81A31MWN12ST81A48MWN12ST81A
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A006A34MWH40MWH12ST18 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A007B31MWH00UUU13UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A008A50FBN48MWN12ST81A000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A009B35MWH00UUU20UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A010A29MWH66MWN12ST80C000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A011C39MWH32MWN12ST81A000002                                                  33MWN12ST81A39MWN12ST81A
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A012A48FWN55MWN14GF99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A013B35MWH00UUU12UN45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  090326150A001C55MWN29MWN12UN81A000001                                                  28MWN13UN81A
602AZ007231A8140015298520076620PHOENIX                 ARIZ  090326150A002A49FWN55MWN80GF99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  090326150A003A19MWH54MWN12ST18 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  090326150A004C42MWH19MBN12ST03 000002                                                  18MBN12ST03 22MBN12ST03
602AZ007231A8140015298520076620PHOENIX                 ARIZ  090326150A005B27MWH00UUU11UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  090326150A006A21MWH21MBN12ST99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  090326150A007B24MWH00UUU14UN45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  090326150A008B27FWH00UUU12UN45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  090326150A009A19MWH15MWH12AQ99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  090326150A010A10MWH18MWH30OK41 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  100227150A001A42MWH50MWH12AQ45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  100227150A002A54MBN57MBN20FR45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  100227150A003C17MWH19MWH12ST45 000002                                                  23MWH12ST45 21MWH12ST45
602AZ007231A8140015298520076620PHOENIX                 ARIZ  100227150A004A03MBN27FBN90FR99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  100227150A006ABBMWH28MWH90FA99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  100227150A007ABBFBN39MBN30OF70 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  100227150A008A39MWH22MWH20AQ45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  100227150A009A29MBN26MWN12ST80C000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  100227150A010A23FWH28MBN12ST10 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  100227150A011B30MBN00UUU30UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  100227150A012A37FWN39MWN13AQ45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  100227150A013B21FBN00UUU11UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  100227150A014B26MWH00UUU11UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  100227150A015B31MWH00UUU12UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  100227150A016B32MWN00UUU30UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  110313150A001A61MWH00MWH30ST45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  110313150A002A23MWH20MWH12ST80C000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  110313150A003A41MWN30FWN12WI99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  110313150A005A54MWH19MWH12OF99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  110313150A006B36MWH00UUU11UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  110313150A007B50MWN00UUU11UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  110313150A008A39MWH22MWH20AQ80C000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  120410150A001C04FWH33MWH85OF99 000001                                                  35FWH85MO99
602AZ007231A8140015298520076620PHOENIX                 ARIZ  120410150A002A46MIN45MIN75FR99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  120410150A003A34MBN30MWN12ST81A000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  120410150A004A25FWN36MWN80AQ10 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  120410150A007B19FBN00UUU12UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  120410150A008B18MWH00UUU12UN18 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  120410150A009B33MBN00UUU12UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  120410150A010B38MWH00UUU20UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  120410150A011B59MWN00UUU12UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  120410150A012A18MWN30MWN13ST81C000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  120410150A013C35MWN52MWN12ST81A000001                                                  50MWN12ST81A
602AZ007231A8140015298520076620PHOENIX                 ARIZ  120410150A014A34MBN36MBN12AQ18 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  120410150A015A29MBN33MBN12AQ45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  120410150A016B60MWN00UUU30UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  120410150A017B17FWN00UUU11UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  120410150A018A29MWN23MBN20OK99 000000
602AZ007252 8140002293250076620SCOTTSDALE              ARIZ  010121150A001C35MWH29MWU12UN81A000002                                                  29MWU12UN81A37MWN12UN81A
602AZ007252 8140002293250076620SCOTTSDALE              ARIZ  100227150A001A50FWN38MWN30UN45 000000
602AZ007252 8140002293250076620SCOTTSDALE              ARIZ  100227150A002A26MWN29MWN13ST99 000000
602AZ007272 8140001250490076620SURPRISE                ARIZ  060114150A001F57FWU00UUU12UN99 00200041MWU25MWU
602AZ007272 8140001250490076620SURPRISE                ARIZ  090326150A001A49MWN50FWN12HU40 000000
602AZ007292 8140001698120076620TEMPE                   ARIZ  031023140A001C25MWN32MWN12ST81B000001                                                  40MWN12ST81B
602AZ007292 8140001698120076620TEMPE                   ARIZ  051120140A001A33FWN33MWN12GF45 000000
602AZ007292 8140001698120076620TEMPE                   ARIZ  070121150A001A24MBN25MUU12ST81A000000
602AZ007292 8140001698120076620TEMPE                   ARIZ  070121150A002A33MBN37MBN12OF45 000000
602AZ007292 8140001698120076620TEMPE                   ARIZ  080205150A001A30MBN28MBN12AQ40 000000
602AZ007292 8140001698120076620TEMPE                   ARIZ  110313150A001A21MBN00MBN12UN10 000000
602AZ007292 8140001698120076620TEMPE                   ARIZ  120410150A001B22MWH00UUU12UN03 000000
602AZ007316 8140000068070076621TOLLESON                ARIZ  010313150A001D09FWH47MWH12DA60 00100006FWH
602AZ008009B8140000796860084191MOHAVE                  ARIZ  011113140A001A45MWU61MWU12AQ45 000000
602AZ008009B8140000796860084191MOHAVE                  ARIZ  070121150A001A37MWU33MWU12AQ45 000000
602AZ008009B8140000796860084191MOHAVE                  ARIZ  100227150A001A01MWU20MWU90OF99 000000
602AZ008014 8140000285260084190KINGMAN                 ARIZ  021015140A001A60FAN64MAN12WI99 000000
602AZ008043 8140000528920084190LAKE HAVASU CITY        ARIZ  021113140A001A41MWN56MWN12ST99 000000
602AZ008043 8140000528920084190LAKE HAVASU CITY        ARIZ  120410150A001C33MWN32MWN12ST81A000002                                                  34MWN12ST81A37MWN12ST81A
